K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.16089289451386396,0.14860961930049355,0.04808661673916784,-0.009333874122588223,20.8,0,,7,,,,
,external_driver_phase_disruption,,0.14911513014102518,0.12431542301598883,-0.0003081955354093252,-0.002852864930891319,20.8,0,,8,,,,
,external_driver_phase_disruption,,0.13407801250393558,0.12875006646369086,0.09029320883815539,0.001419712255210842,20.8,0,,9,,,,
,external_driver_phase_disruption,,0.1977408688704828,0.1650076692736723,0.008360666827946367,0.008506990934768324,20.8,0,,10,,,,
,external_driver_phase_disruption,,0.19237000673709329,0.1658551921360832,0.004642526397077171,-0.016715468188940666,20.8,0,,11,,,,
,external_driver_phase_disruption,,0.13784114289204996,0.13506520459378346,0.08648395538576839,0.028411724548188397,20.8,0,,12,,,,
,external_driver_phase_disruption,,0.1114498391353525,0.1038138101233963,0.062196114181184356,0.008000314875241,20.8,0,,13,,,,
,external_driver_phase_disruption,,0.2246185533293808,0.21049399791227852,0.044497759419823146,0.05451746718754445,20.8,0,,14,,,,
,external_driver_phase_disruption,,0.18298089194174444,0.17829464920291227,0.08608225091139671,0.030036773999024075,20.8,0,,15,,,,
,external_driver_phase_disruption,,0.15039248733435645,0.1442435981052359,0.013782869682787635,-0.006764275756142718,20.8,0,,16,,,,
,external_driver_phase_disruption,,0.19702914500636642,0.1868607278204531,0.07935145772127224,-0.034467174006586845,20.8,0,,17,,,,
,external_driver_phase_disruption,,0.20864725129260772,0.16536305289365033,0.006277781024989951,-0.011940558945748705,20.8,0,,18,,,,
,external_driver_phase_disruption,,0.11576263005603649,0.10515850205099764,0.004094808721631871,0.009451173764517942,20.8,0,,19,,,,
,external_driver_phase_disruption,,0.1077777301844571,0.09854328645784571,0.040834687033998035,0.0007074650229365598,20.8,0,,20,,,,
,external_driver_phase_disruption,,0.17803338337758934,0.1729460805337184,0.10158882369056169,-0.023343499436213694,20.8,0,,21,,,,
,external_driver_phase_disruption,,0.1564386980095231,0.13930236062442403,0.061870854584590365,0.010107867703989692,20.8,0,,22,,,,
,external_driver_phase_disruption,,0.20358080116590938,0.19490672913852658,0.07608961689144737,-0.023668938520047575,20.8,0,,23,,,,
,external_driver_phase_disruption,,0.1903465273894811,0.1863526710097328,0.12581454339694292,-0.02390699799423532,27.3,0,,0,,,,
,external_driver_phase_disruption,,0.1467097687175398,0.1320313297660411,0.04900230863649599,-0.008344430819685972,27.3,0,,1,,,,
,external_driver_phase_disruption,,0.14955053244747274,0.1445453232623759,0.07895222318885807,-0.013064440087088888,27.3,0,,2,,,,
,external_driver_phase_disruption,,0.3026487848368075,0.2631982875256242,0.007734227453001549,0.014358455871227568,27.3,0,,3,,,,
,external_driver_phase_disruption,,0.14769216862922813,0.1196703174230763,-0.015526008650774706,-0.005950936140094731,27.3,0,,4,,,,
,external_driver_phase_disruption,,0.11134411572393776,0.10829830710730365,0.08597903911678717,0.020832825441978522,27.3,0,,5,,,,
,external_driver_phase_disruption,,0.26531839259999723,0.2202692597729897,-0.018475295416201687,0.019628273762706566,27.3,0,,6,,,,
,external_driver_phase_disruption,,0.18448479404685952,0.1695920594715665,0.002461274254388607,0.004814144903591763,27.3,0,,7,,,,
,external_driver_phase_disruption,,0.1336183147715077,0.1320243425953455,0.12342048150579582,0.012126792891724095,27.3,0,,8,,,,
,external_driver_phase_disruption,,0.21126574391858338,0.1852140951445014,0.02130251202652987,-0.002877885619729112,27.3,0,,9,,,,
,external_driver_phase_disruption,,0.26800898850657484,0.22426909741954107,0.03818568434187655,0.027286579537661962,27.3,0,,10,,,,
,external_driver_phase_disruption,,0.14956853391411482,0.13758934310527315,0.0610659003372164,-0.016565043909086627,27.3,0,,11,,,,
,external_driver_phase_disruption,,0.24485626398943128,0.2166570053756127,0.034032508381535154,-0.002159932777577131,27.3,0,,12,,,,
,external_driver_phase_disruption,,0.21808790695631347,0.2134697636188051,0.19200479028986567,-0.004265121132262392,27.3,0,,13,,,,
,external_driver_phase_disruption,,0.22834842982020434,0.2180883277566411,0.0115183195191918,-0.028009906640004384,27.3,0,,14,,,,
,external_driver_phase_disruption,,0.21596125133466143,0.1352345584950954,-0.02228419241005551,0.03308354832166113,27.3,0,,15,,,,
,external_driver_phase_disruption,,0.15101432482951965,0.14820308854870068,0.08982963051845036,-0.001260474491218827,27.3,0,,16,,,,
