analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,8,0.5716941919324888,0.7977722295703338,0.22607803763784495,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,9,0.72682903770659,0.8897035785318961,0.16287454082530606,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,10,0.7745806499885844,0.8945918895956193,0.12001123960703486,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,11,0.8556168685449093,0.916352321949267,0.06073545340435771,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,12,0.8121845447447695,0.8965706745525668,0.08438612980779725,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,13,0.86466071883502,0.9158011021061421,0.051140383271122025,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,14,0.6981122217524417,0.8883667543239387,0.19025453257149705,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,15,0.8703302756967762,0.9216510764702168,0.05132080077344059,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,16,0.7886358654763308,0.8854245338128969,0.09678866833656607,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,17,0.8384309206459446,0.9006361242399169,0.0622052035939723,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,18,0.8476028787756725,0.9079780617512888,0.06037518297561628,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,19,0.6616191598538584,0.8544600831874952,0.19284092333363678,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,20,0.8741952648668995,0.9229167530383311,0.048721488171431626,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,21,0.8718419726263215,0.921732086625394,0.049890113999072505,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,22,0.8780766484643958,0.9233876113704654,0.04531096290606962,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,23,0.8657283247823844,0.9191671373324393,0.05343881255005489,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,0,0.846297991436546,0.9120662879663367,0.06576829652979066,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,1,0.8257274120644741,0.9070442234495054,0.08131681138503133,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,2,0.8392509671004357,0.9058957267417695,0.06664475964133387,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,3,0.8946947991416575,0.9306499456426865,0.035955146501029045,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,4,0.8924951180836568,0.9321217495320805,0.03962663144842371,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,5,0.7574009276000113,0.810418190611041,0.053017263011029714,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,6,0.7685917435590547,0.8770588334398745,0.10846708988081977,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,7,0.8532769167848554,0.9172878237429722,0.06401090695811684,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,8,0.8679656705539577,0.9302370332947548,0.06227136274079714,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,9,0.8693345293360738,0.9203302325816448,0.05099570324557101,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,10,0.7485510953459675,0.8776087909931616,0.12905769564719405,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,11,0.8140376503736599,0.8902087685161397,0.07617111814247979,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,12,0.9071179252205298,0.9422443641744459,0.035126438953916095,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,13,0.8706550653312102,0.9225270348048193,0.05187196947360917,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,14,0.8767484510974694,0.9205579675768079,0.043809516479338506,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,15,0.8133210450404511,0.9022014420259727,0.08888039698552164,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,16,0.8192336540022092,0.9001617530966134,0.08092809909440424,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,17,0.8676538041263778,0.9153844204638267,0.047730616337448906,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,18,0.8781484670208934,0.9314258192889372,0.053277352268043754,,,,,,,,,,,,
