mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.2124300885767207,0.47712356566590797,0.0,0.0,,network_10_00Hz,10.0,10,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.167752256847878,0.4367990727588515,0.0,0.0,0.006475599036848212,network_10_00Hz,10.0,10,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.28359715750409387,0.4172895747783243,0.0,0.0,0.26934617960896046,network_10_00Hz,10.0,11,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.16736357793220263,0.3532864145567856,0.0,0.0,0.009625434234474036,network_10_00Hz,10.0,11,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1689313020599702,0.37408227382195763,0.0,0.0,0.005338573997228905,network_10_00Hz,10.0,11,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.15658827446127885,0.35798798256698094,0.0,0.0,0.0094525377544642,network_10_00Hz,10.0,11,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.23726238434478988,0.40224240501908737,0.0,0.0,0.18250706168072187,network_10_00Hz,10.0,11,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.16890119199792558,0.3447857501656836,0.0,0.0,0.0373490504416084,network_10_00Hz,10.0,11,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.16759533211243569,0.3526846802992273,0.0,0.0,,network_10_00Hz,10.0,11,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.1585117751914543,0.33367891956608964,0.0,0.0,0.004396588143997121,network_10_00Hz,10.0,11,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
